scene,view,lpips,psnr,ssim,avg_sigma,u_hist
Chair,89,0.089014888,27.28450775,0.931309819,0.060281001,"[0.00029218796407803893, 0.0005511727649718523, 0.0037054745480418205, 0.009469546377658844, 0.015187133103609085, 0.029723484069108963, 0.0764005109667778, 0.08494700491428375, 0.10887321829795837, 0.13902169466018677, 0.1729487031698227, 0.16467447578907013, 0.09569819271564484, 0.022372299805283546, 0.003320317715406418, 0.0022578160278499126, 0.0038382872007787228, 0.0025632851757109165, 0.00100937660317868, 0.0010226578451693058, 0.062123142182826996]"
Chair,91,0.084696651,27.66893768,0.934659302,0.10647434,"[0.0006522001349367201, 0.0011909741442650557, 0.002233076374977827, 0.0035941896494477987, 0.01254776306450367, 0.023698966950178146, 0.05183573067188263, 0.10580529272556305, 0.17661862075328827, 0.1937955915927887, 0.11677926778793335, 0.0822906419634819, 0.023309065029025078, 0.008627473376691341, 0.005798909813165665, 0.006961527280509472, 0.0036012788768857718, 0.0028214743360877037, 0.0022543438244611025, 0.001984956907108426, 0.17359866201877594]"
Chair,93,0.086776271,27.48728943,0.933282614,0.112129956,"[7.565155101474375e-05, 0.000416083523305133, 0.001134773250669241, 0.002617543563246727, 0.006316904444247484, 0.015289178118109703, 0.05983281135559082, 0.2321443408727646, 0.14230813086032867, 0.1582479029893875, 0.12891779839992523, 0.018852366134524345, 0.009721224196255207, 0.005878125317394733, 0.004402920138090849, 0.0035177969839423895, 0.00311684375628829, 0.0030563226900994778, 0.0028142377268522978, 0.0023981539998203516, 0.19894087314605713]"
Chair,97,0.091114573,26.86670685,0.929315269,0.025028007,"[0.015058987773954868, 0.09600672125816345, 0.10723663866519928, 0.10375566780567169, 0.10724420845508575, 0.11214783787727356, 0.11528827995061874, 0.08871181309223175, 0.04578235000371933, 0.030556879937648773, 0.024427343159914017, 0.01897129788994789, 0.015452488325536251, 0.01259960513561964, 0.010026712901890278, 0.007764081005007029, 0.006628981325775385, 0.0054257758893072605, 0.004623638931661844, 0.003783665131777525, 0.06850703805685043]"
Chair,98,0.085286252,27.53052139,0.935402811,0.145024732,"[0.0011653966503217816, 0.006813088431954384, 0.21426117420196533, 0.403780072927475, 0.10366801172494888, 0.009457642212510109, 0.006260272115468979, 0.005094875115901232, 0.0041386522352695465, 0.0031600180082023144, 0.003309427760541439, 0.0032197819091379642, 0.003018078627064824, 0.0028611982706934214, 0.002689376939088106, 0.0027939637657254934, 0.0028985508251935244, 0.002577319508418441, 0.0026445540133863688, 0.0024054981768131256, 0.21378305554389954]"
Drums,3,0.200654596,18.48758888,0.832069755,0.144643381,"[0.01218372955918312, 0.6011472940444946, 0.06228701397776604, 0.02787609212100506, 0.019757991656661034, 0.01606954075396061, 0.013582796789705753, 0.012416176497936249, 0.011767079122364521, 0.010310996323823929, 0.008144414983689785, 0.007859339006245136, 0.007916354574263096, 0.00822335947304964, 0.007841795682907104, 0.008451420813798904, 0.008986487053334713, 0.009039117023348808, 0.010104863904416561, 0.010903078131377697, 0.1251310259103775]"
Drums,5,0.208803102,18.11421585,0.825054467,0.104311317,"[0.49188318848609924, 0.16010692715644836, 0.03266147896647453, 0.028850512579083443, 0.021936193108558655, 0.012015650980174541, 0.01004079170525074, 0.009832669049501419, 0.00888917688280344, 0.008847552351653576, 0.00909267459064722, 0.012117399834096432, 0.0073860641568899155, 0.006067949812859297, 0.007543312851339579, 0.0055268295109272, 0.0052169570699334145, 0.005855201743543148, 0.005605453625321388, 0.00539733050391078, 0.14512667059898376]"
Drums,10,0.203894645,18.20161247,0.828009188,0.092257753,"[0.0327959768474102, 0.11799725890159607, 0.39788880944252014, 0.1361371874809265, 0.032511577010154724, 0.016480937600135803, 0.01182152982801199, 0.010570173151791096, 0.009574775584042072, 0.00841347873210907, 0.007754620164632797, 0.006389503832906485, 0.0049532875418663025, 0.004199629183858633, 0.0038251702208071947, 0.0035692108795046806, 0.0031094320584088564, 0.003114172024652362, 0.002711273031309247, 0.0027397130616009235, 0.18344227969646454]"
Drums,15,0.207550347,18.16802406,0.826315284,0.132241488,"[0.00459529971703887, 0.3038783073425293, 0.3533182144165039, 0.03832685947418213, 0.020911801606416702, 0.01585550047457218, 0.012196916155517101, 0.01009298488497734, 0.008911056444048882, 0.006812029052525759, 0.005772324278950691, 0.005262280348688364, 0.004301043692976236, 0.003830233821645379, 0.003830233821645379, 0.00299160392023623, 0.004610012751072645, 0.0029670826625078917, 0.0026532092597335577, 0.0028493800200521946, 0.18603362143039703]"
Drums,22,0.201263428,18.62631416,0.833334208,0.141306192,"[0.08714708685874939, 0.5513702034950256, 0.04038523510098457, 0.025693075731396675, 0.02134641818702221, 0.015757206827402115, 0.013973028399050236, 0.014833256602287292, 0.017987428233027458, 0.011874797753989697, 0.010777892544865608, 0.01047749537974596, 0.010090620256960392, 0.01061403937637806, 0.011396893300116062, 0.011865695007145405, 0.013590703718364239, 0.013103696517646313, 0.01451010163873434, 0.01487421989440918, 0.0783308818936348]"
Drums,23,0.206629932,18.31274796,0.827804029,0.150720149,"[0.0034111756831407547, 0.21451963484287262, 0.47126778960227966, 0.025761431083083153, 0.01501209195703268, 0.011581452563405037, 0.007177580613642931, 0.006423326209187508, 0.005727466195821762, 0.0051775905303657055, 0.004919684026390314, 0.0048661562614142895, 0.00475910073146224, 0.004822360817342997, 0.004656911827623844, 0.004627714864909649, 0.004598517902195454, 0.004914817865937948, 0.005075401160866022, 0.00543549656867981, 0.18526430428028107]"
Drums,31,0.20530425,18.40541458,0.829511881,0.172283262,"[0.3805221617221832, 0.2778899371623993, 0.027822934091091156, 0.02232087031006813, 0.016211437061429024, 0.015161936171352863, 0.018180925399065018, 0.012464495375752449, 0.012870898470282555, 0.014358063228428364, 0.016783079132437706, 0.02053002081811428, 0.03017202951014042, 0.0376167856156826, 0.03179764002561569, 0.03955501317977905, 0.014366994611918926, 0.006658746860921383, 0.002625984838232398, 0.0009825113229453564, 0.0011075581423938274]"
Drums,38,0.208644405,18.15879631,0.826863289,0.091190703,"[0.0023116020020097494, 0.07758858054876328, 0.27328649163246155, 0.2840900719165802, 0.06980747729539871, 0.020243443548679352, 0.01395182404667139, 0.011983577162027359, 0.010068525560200214, 0.009908938780426979, 0.008990100584924221, 0.0077859400771558285, 0.006649482995271683, 0.0053244223818182945, 0.004811807535588741, 0.0042846850119531155, 0.00366567843593657, 0.0032110956963151693, 0.0031917516607791185, 0.002824216615408659, 0.1760202795267105]"
Drums,41,0.198718265,18.54209518,0.832650483,0.132487103,"[0.23000729084014893, 0.3849409520626068, 0.04005003347992897, 0.030532553791999817, 0.028921691700816154, 0.02550610713660717, 0.022215144708752632, 0.02051658369600773, 0.016810214146971703, 0.017511792480945587, 0.013883888721466064, 0.010689855553209782, 0.010883713141083717, 0.010966794565320015, 0.011825306341052055, 0.013113074004650116, 0.01473778486251831, 0.01338539831340313, 0.013874657452106476, 0.01225917786359787, 0.057367969304323196]"
Drums,47,0.203789979,18.55186272,0.831571817,0.163009793,"[0.5206208229064941, 0.06875518709421158, 0.050219181925058365, 0.038424935191869736, 0.03738157078623772, 0.029466507956385612, 0.020741211250424385, 0.01979721151292324, 0.01744294911623001, 0.01785188727080822, 0.018474850803613663, 0.03237876296043396, 0.07849327474832535, 0.021658455953001976, 0.015367681160569191, 0.007177445106208324, 0.003393807914108038, 0.0017618754645809531, 0.0004930193535983562, 7.261525752255693e-05, 2.675299037946388e-05]"
