scene,view,lpips,psnr,ssim,avg_sigma,u_hist
Chair,98,0.085286252,27.53052139,0.935402811,0.145024732,"[0.007978484965860844, 0.6180412173271179, 0.11312565207481384, 0.011355146765708923, 0.007298670243471861, 0.006529209669679403, 0.0058792768977582455, 0.005483340937644243, 0.005475870333611965, 0.005050052423030138, 0.21378305554389954]"
Drums,3,0.200654596,18.48758888,0.832069755,0.144643381,"[0.6133310794830322, 0.09016310423612595, 0.03582753241062164, 0.025998974218964577, 0.022078076377511024, 0.01600375398993492, 0.016139714047312737, 0.01629321649670601, 0.018025605008006096, 0.021007942035794258, 0.1251310259103775]"
Drums,5,0.208803102,18.11421585,0.825054467,0.104311317,"[0.6519901156425476, 0.061511993408203125, 0.03395184502005577, 0.01987346075475216, 0.017736729234457016, 0.021210074424743652, 0.0134540144354105, 0.013070141896605492, 0.011072158813476562, 0.011002784594893456, 0.14512667059898376]"
Drums,10,0.203894645,18.20161247,0.828009188,0.092257753,"[0.15079323947429657, 0.534026026725769, 0.04899251461029053, 0.022391702979803085, 0.017988253384828568, 0.01414412446320057, 0.009152917191386223, 0.007394381333142519, 0.006223604083061218, 0.005450986325740814, 0.18344227969646454]"
Drums,15,0.207550347,18.16802406,0.826315284,0.132241488,"[0.3084735870361328, 0.39164507389068604, 0.03676730394363403, 0.022289901971817017, 0.015723085030913353, 0.011034604161977768, 0.008131277747452259, 0.006821837741881609, 0.007577095180749893, 0.005502589512616396, 0.18603362143039703]"
Drums,22,0.201263428,18.62631416,0.833334208,0.141306192,"[0.6385173201560974, 0.0660783126950264, 0.037103623151779175, 0.028806284070014954, 0.02986222691833973, 0.021255386993288994, 0.020704658702015877, 0.023262588307261467, 0.02669440023601055, 0.029384322464466095, 0.0783308818936348]"
Drums,23,0.206629932,18.31274796,0.827804029,0.150720149,"[0.21793080866336823, 0.49702921509742737, 0.026593545451760292, 0.013600907288491726, 0.01090505626052618, 0.009785840287804604, 0.009581461548805237, 0.009284626692533493, 0.009513335302472115, 0.010510898195207119, 0.18526430428028107]"
Drums,31,0.20530425,18.40541458,0.829511881,0.172283262,"[0.6584120988845825, 0.050143804401159286, 0.03137337043881416, 0.030645420774817467, 0.027228960767388344, 0.03731309995055199, 0.06778881698846817, 0.07135265320539474, 0.02102574147284031, 0.0036084959283471107, 0.0011075581423938274]"
Drums,38,0.208644405,18.15879631,0.826863289,0.091190703,"[0.07990018278360367, 0.5573765635490417, 0.09005092084407806, 0.025935400277376175, 0.01997746340930462, 0.016776040196418762, 0.011973905377089977, 0.00909649208188057, 0.0068767741322517395, 0.006015968509018421, 0.1760202795267105]"
Drums,41,0.198718265,18.54209518,0.832650483,0.132487103,"[0.6149482727050781, 0.07058259099721909, 0.054427798837423325, 0.04273172840476036, 0.03432200476527214, 0.02457374520599842, 0.021850507706403732, 0.02493838034570217, 0.02812318317592144, 0.026133835315704346, 0.057367969304323196]"
Drums,47,0.203789979,18.55186272,0.831571817,0.163009793,"[0.5893760323524475, 0.0886441171169281, 0.06684807687997818, 0.040538422763347626, 0.03529483824968338, 0.050853610038757324, 0.10015172511339188, 0.02254512719810009, 0.005155683495104313, 0.000565634632948786, 2.675299037946388e-05]"
Drums,49,0.201135859,18.66345024,0.833750606,0.169720247,"[0.6419990062713623, 0.0645187646150589, 0.036364249885082245, 0.039312440901994705, 0.04748369753360748, 0.046555470675230026, 0.07174737006425858, 0.04332832992076874, 0.007055462803691626, 0.001394740422256291, 0.00024047248007263988]"
Drums,53,0.206913143,18.41601181,0.829381227,0.168915644,"[0.6305498480796814, 0.06679033488035202, 0.04339638724923134, 0.0259750597178936, 0.023103516548871994, 0.02060672454535961, 0.019993066787719727, 0.02010549232363701, 0.01900465600192547, 0.02021791972219944, 0.11025698482990265]"
Drums,54,0.203046262,18.29660416,0.828614354,0.14260827,"[0.658475399017334, 0.04396170377731323, 0.04462471976876259, 0.028087349608540535, 0.05332415550947189, 0.07546970248222351, 0.038146596401929855, 0.0335983969271183, 0.016980789601802826, 0.005033847410231829, 0.0022973264567553997]"
Drums,70,0.203997493,18.2680378,0.829339802,0.180297524,"[0.6037207245826721, 0.07077128440141678, 0.041816309094429016, 0.049114909023046494, 0.11153410375118256, 0.06246707960963249, 0.0486360527575016, 0.010973838157951832, 0.0009337738738395274, 3.192389340256341e-05, 0.0]"
Drums,79,0.201435238,18.50115967,0.832479596,0.127164528,"[0.6388914585113525, 0.06549116969108582, 0.03657807782292366, 0.03568151220679283, 0.03293289616703987, 0.018895165994763374, 0.016470657661557198, 0.016327545046806335, 0.017047319561243057, 0.019758054986596107, 0.10192613303661346]"
Drums,89,0.204377443,18.34005737,0.829472542,0.170223773,"[0.678229033946991, 0.04184647649526596, 0.02611069567501545, 0.02181011065840721, 0.024094177410006523, 0.026318788528442383, 0.03760039061307907, 0.04311485216021538, 0.0960397943854332, 0.004330312833189964, 0.0005053682834841311]"
Drums,91,0.204665825,18.39432907,0.830760419,0.138226435,"[0.5793017745018005, 0.12245097011327744, 0.036050282418727875, 0.026479655876755714, 0.021340910345315933, 0.021740848198533058, 0.020987477153539658, 0.01796003431081772, 0.018425079062581062, 0.018187906593084335, 0.11707505583763123]"
